unix timestamp	doserate (uSv/h)	lat	lng	horizontal accuracy (radius of 68% confidence [m])	marker type (2-circle, 1-marker)	SE (1 Пѓ)[%]
1563522927	0.3260	53.664737701	37.133769989	6	2	11.июл
1563522931	0.3305	53.664726257	37.133815765	7	2	11.июн
1563522933	0.3059	53.664718628	37.133846283	6	2	12.фев
1563522935	0.3483	53.664714813	37.133880615	7	2	11.мар
1563522939	0.3305	53.664699554	37.133937836	7	2	12.0
1563522941	0.3282	53.664691925	37.133968353	7	2	11.май
1563522943	0.3327	53.664680481	37.133998871	6	2	11.сен
1563522947	0.2791	53.664669037	37.134059906	7	2	12.май
1563522951	0.4019	53.664657593	37.134113312	8	2	10.май
1563522953	0.3394	53.664665222	37.134140015	7	2	12.апр
1563522955	0.3662	53.664680481	37.134174347	7	2	11.0
1563522957	0.4064	53.664684296	37.134208679	6	2	10.май
1563522959	0.3573	53.664672852	37.134239197	7	2	11.фев
1563522961	0.3193	53.664665222	37.134277344	7	2	12.фев
1563522965	0.2836	53.664657593	37.134334564	7	2	12.янв
1563522967	0.3037	53.664642334	37.134353638	7	2	12.мар
1563522969	0.2858	53.664642334	37.134387970	6	2	12.июл
1563522971	0.2300	53.664665222	37.134422302	7	2	14.мар
1563522973	0.2568	53.664684296	37.134445190	7	2	13.июл
1563522975	0.1898	53.664695740	37.134468079	6	2	15.фев
1563522977	0.2412	53.664714813	37.134487152	7	2	13.июн
1563522983	0.1786	53.664680481	37.134498596	7	2	15.июн
1563522989	0.1987	53.664714813	37.134532928	6	2	15.апр
1563522995	0.1987	53.664680481	37.134525299	8	2	15.авг
1563522999	0.2010	53.664661407	37.134536743	9	2	15.фев
1563523025	0.2188	53.664688110	37.134536743	7	2	14.янв
1563523033	0.1764	53.664710999	37.134552002	7	2	15.фев
1563523039	0.3059	53.664703369	37.134498596	8	2	12.фев
1563523041	0.2925	53.664680481	37.134475708	7	2	12.апр
1563523043	0.2635	53.664672852	37.134445190	8	2	13.апр
1563523045	0.2188	53.664657593	37.134422302	7	2	14.0
1563523049	0.2278	53.664665222	37.134384155	7	2	13.май
1563523053	0.3260	53.664680481	37.134357452	8	2	11.июл
1563523055	0.3528	53.664691925	37.134330750	7	2	11.мар
1563523057	0.3573	53.664695740	37.134296417	7	2	11.фев
1563523059	0.3528	53.664695740	37.134258270	8	2	11.мар
1563523061	0.3617	53.664691925	37.134227753	8	2	11.май
1563523063	0.3461	53.664695740	37.134181976	8	2	11.авг
1563523067	0.3059	53.664699554	37.134117126	8	2	12.июн
1563523069	0.3483	53.664710999	37.134090424	8	2	11.мар
1563523073	0.3394	53.664722443	37.134040833	9	2	11.май
1563523075	0.3215	53.664726257	37.134002686	8	2	11.авг
1563523077	0.3305	53.664733887	37.133972168	8	2	11.авг
1563523081	0.3305	53.664752960	37.133907318	9	2	11.июн
1563523082	0.3148	53.664764404	37.133861542	9	2	12.фев
1563523087	0.3483	53.664779663	37.133808136	9	2	11.мар
1563523088	0.2545	53.664794922	37.133789063	7	2	14.янв
1563523093	0.3573	53.664806366	37.133747101	6	2	11.апр
1563523095	0.3729	53.664821625	37.133716583	7	2	11.мар
1563523099	0.3193	53.664844513	37.133670807	9	2	12.мар
1563523101	0.3483	53.664852142	37.133636475	7	2	11.мар
1563523105	0.3394	53.664871216	37.133598328	7	2	11.май
1563523109	0.2925	53.664859772	37.133567810	7	2	13.0
1563523113	0.3372	53.664855957	37.133514404	8	2	11.июл
1563523116	0.3215	53.664852142	37.133476257	10	2	11.авг
1563523137	0.2456	53.664810181	37.133502960	11	2	14.сен
1563523147	0.2769	53.664829254	37.133464813	12	2	13.янв
1563523155	0.2211	53.664844513	37.133445740	13	2	14.мар
1563523172	0.2367	53.664833069	37.133483887	13	2	14.0
1563523180	0.2679	53.664829254	37.133434296	16	2	13.янв
1563523186	0.2635	53.664844513	37.133460999	17	2	13.0
1563523188	0.2166	53.664855957	37.133502960	16	2	14.сен
1563523194	0.2322	53.664840698	37.133541107	18	2	13.0
1563523223	0.2389	53.664852142	37.133506775	11	2	14.июл
1563523227	0.2501	53.664852142	37.133476257	14	2	13.май
1563523297	0.3707	53.664833069	37.133487701	4	2	11.0
